stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\code\I2P2\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07608] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07609] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07609] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   4.07610] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   4.07611] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   4.07612] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   4.07612] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   4.07638] added dtor for bitmap 000000000ce00240, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.07749] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.07755] _al_d3d_sync_bitmap (video) ref count == 1
d3d      I         d3d_disp.cpp:915  d3d_destroy_display              [   4.35495] destroying display 00000000013aabd0 (current 0000000000000000)
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.35997] converting display bitmap 000000000ce00240 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36004] added dtor for bitmap 000000000ce08d90, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36110] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36113] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36116] removed dtor for bitmap 000000000ce08d90
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36126] converting display bitmap 000000000ce00090 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36128] added dtor for bitmap 000000000ce08d90, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36197] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36201] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36202] removed dtor for bitmap 000000000ce08d90
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36207] converting display bitmap 0000000002d454f0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36210] added dtor for bitmap 000000000ce092a0, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36272] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36274] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36286] removed dtor for bitmap 000000000ce092a0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36307] converting display bitmap 0000000002cfdce0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36309] added dtor for bitmap 000000000ce090f0, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36380] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36382] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36384] removed dtor for bitmap 000000000ce090f0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36403] converting display bitmap 0000000002cfc110 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36406] added dtor for bitmap 000000000ce097b0, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36530] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36534] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36640] removed dtor for bitmap 000000000ce097b0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36695] converting display bitmap 0000000002cfc6a0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36701] added dtor for bitmap 000000000ce090f0, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36785] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36790] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36792] removed dtor for bitmap 000000000ce090f0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36798] converting display bitmap 0000000002cfc4f0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36799] added dtor for bitmap 000000000ce09450, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36852] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36856] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36858] removed dtor for bitmap 000000000ce09450
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36862] converting display bitmap 0000000002d035a0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36864] added dtor for bitmap 000000000ce08a30, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36912] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36913] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36914] removed dtor for bitmap 000000000ce08a30
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36918] converting display bitmap 0000000002d00cd0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36920] added dtor for bitmap 000000000ce090f0, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.36980] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.36984] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.36986] removed dtor for bitmap 000000000ce090f0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.36990] converting display bitmap 0000000002cfe400 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.36991] added dtor for bitmap 000000000ce08be0, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.37039] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.37042] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.37043] removed dtor for bitmap 000000000ce08be0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.37048] converting display bitmap 0000000002cfe000 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.37051] added dtor for bitmap 000000000ce092a0, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.37109] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.37111] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.37112] removed dtor for bitmap 000000000ce092a0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [   4.37120] converting display bitmap 0000000002cb93c0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [   4.37122] added dtor for bitmap 000000000ce092a0, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   4.37187] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   4.37189] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.37220] removed dtor for bitmap 000000000ce092a0
d3d      D         d3d_disp.cpp:899  d3d_destroy_display_internals    [   4.37244] waiting for display 00000000013aabd0's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   4.39077] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   4.39084] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1562 d3d_display_thread_proc          [   4.41627] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41654] removed dtor for timer 00000000013a9cf0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41658] removed dtor for queue 00000000013aa5b0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41659] removed dtor for ttf_font 0000000002cb8ba0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41663] removed dtor for ttf_font 0000000002cb8930
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41666] removed dtor for ttf_font 0000000002cb8a50
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41668] removed dtor for ttf_font 0000000002cb8660
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41672] removed dtor for ttf_font 0000000002cb8570
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41676] removed dtor for ttf_font 0000000002cf9f40
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41683] removed dtor for bitmap 0000000002cfc110
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41697] removed dtor for bitmap 0000000002cb93c0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41703] removed dtor for bitmap 0000000002cfe000
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41704] removed dtor for bitmap 0000000002cfdce0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41705] removed dtor for bitmap 000000000ce00090
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41706] removed dtor for bitmap 000000000ce00240
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41708] removed dtor for bitmap 0000000002cfe400
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41709] removed dtor for bitmap 0000000002d00cd0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41710] removed dtor for bitmap 0000000002d035a0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41711] removed dtor for bitmap 0000000002cfc4f0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41712] removed dtor for bitmap 0000000002cfc6a0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41715] removed dtor for sample 0000000002cfa3c0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41818] removed dtor for sample_instance 0000000002ccb960
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41821] removed dtor for sample 0000000002cfa2d0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41822] removed dtor for sample_instance 0000000002cb5860
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41823] removed dtor for sample_instance 0000000002cb5980
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41824] removed dtor for sample_instance 0000000002cb5aa0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41825] removed dtor for sample_instance 0000000002cb5bc0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41826] removed dtor for sample_instance 0000000002cb5d70
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41828] removed dtor for sample_instance 0000000002cb7e70
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41829] removed dtor for sample_instance 0000000002cb7f90
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41829] removed dtor for sample_instance 0000000002cc35a0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41830] removed dtor for sample_instance 0000000002cb81c0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41831] removed dtor for sample_instance 0000000002cb82e0
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41832] removed dtor for sample_instance 0000000002cb8400
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41833] removed dtor for sample_instance 0000000002cb8d30
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41834] removed dtor for sample_instance 0000000002cb8e50
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41835] removed dtor for sample_instance 0000000002ccc260
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41836] removed dtor for sample_instance 0000000002ccb720
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41837] removed dtor for sample_instance 0000000002ccb840
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.41838] removed dtor for mixer 0000000002cb5620
audio-dsound D           dsound.cpp:528  _dsound_stop_voice               [   4.41839] Stopping voice
audio-dsound D           dsound.cpp:545  _dsound_stop_voice               [   4.41840] Joining thread
audio-dsound D           dsound.cpp:551  _dsound_stop_voice               [   4.42474] Joined thread
audio-dsound D           dsound.cpp:553  _dsound_stop_voice               [   4.42481] Destroying thread
audio-dsound D           dsound.cpp:555  _dsound_stop_voice               [   4.42484] Thread destroyed
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [   4.42485] Releasing buffer
audio-dsound I           dsound.cpp:566  _dsound_stop_voice               [   4.42487] Voice stopped
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.42491] removed dtor for voice 0000000002cb5470
audio-dsound D           dsound.cpp:380  _dsound_deallocate_voice         [   4.42494] Deallocating voice
audio-dsound D           dsound.cpp:385  _dsound_deallocate_voice         [   4.42495] Deallocated voice
audio-dsound D           dsound.cpp:296  _dsound_close                    [   4.42497] Releasing device
audio-dsound D           dsound.cpp:298  _dsound_close                    [   4.42691] Released device
audio-dsound I           dsound.cpp:299  _dsound_close                    [   4.42699] DirectSound closed
